station_key,n,dynamic_eligible,nse,r,rmse,logrmse,bias,observed_sd,predicted_sd
三溪桥,58,True,-3.8377181894746144,-0.007489231934826248,1.0029703193288348,0.37115411937171006,0.8589600399886104,0.4560031033464502,0.241962033227275
东江江口,59,True,-0.32003122491840186,-0.07978156453151553,0.5416444851815596,0.20205795014618724,-0.24911660578620248,0.47143543578218283,0.06477440561051874
兴宁电站,59,True,-14.496054107571267,-0.10572990557632474,1.7673440631224344,0.5697081327252795,-1.7021135444901536,0.4489629916627787,0.11684807304993736
北江石尾,60,True,-0.9518148886932856,-0.034672870474511806,0.8556360834400016,0.2652889385730707,-0.5688944931387887,0.6124487856370567,0.16269285775766254
十里亭,60,True,-6.533249029066989,0.07071768660554734,1.088952390694401,0.3914588394788293,0.9894438878766211,0.39675072638734876,0.2520978585479799
庙咀里,59,True,-3.5306796630368202,-0.24718130097562213,1.1122758911269834,0.473892635288361,-0.9712754847415025,0.5225536016429897,0.06423318978286027
石角,60,True,-1.2203836283371539,0.02414021047203623,0.5975547728762751,0.1979904964331133,-0.41641305161994224,0.4010178565776193,0.16117412338544684
连江西牛,60,True,-0.47723388644624265,0.04965621905645599,0.33541291199172807,0.14344127543950985,0.14109752388926214,0.2759657252834529,0.1426375539772995
长坝,60,True,-0.09350487977903588,0.09525042654875338,0.4113738836527414,0.17354336921884805,0.08916205423433762,0.3933927519782234,0.12649220595679495
马头福水,21,True,-9.724071009708275,0.3740050679997475,0.8105515681624565,0.40476213277830037,0.7750030549855553,0.24751459335340711,0.15315353642622132
高桥,60,True,-0.3499818127509624,0.003957534707807353,0.3553920597906361,0.13168590012007628,-0.07478476766611558,0.30587484459511105,0.1659915755684874
龙川城铁路桥,59,True,-2.5145792957285544,0.16025115431513962,0.6321231314978318,0.24241937027487118,-0.533137869230185,0.33718248711211346,0.12164524749905875
