variant,split,basin,rows,stations,eligible,NSE_median,r_median,RMSE_station_mean
M0,train,ALL,393,17,17,-1.3781797859249267,0.006019998323667837,0.928421648658389
M0,train,Beijiang,278,12,12,-1.0632857888047678,-0.043826732962271,0.9001210363483555
M0,train,Dongjiang,115,5,5,-1.9067230083789712,0.06923960934747003,0.9963431182024696
M0,development,ALL,164,17,12,-2.2614194814375295,-0.4139295700657929,0.8658616100028399
M0,development,Beijiang,112,12,8,-1.6410301561393195,-0.4488734591431783,0.7973389024094018
M0,development,Dongjiang,52,5,4,-8.389697754044208,-0.20400170879593754,1.0303161082270917
M0,evaluation,ALL,164,17,12,-3.8505239088489676,-0.2946290997485596,0.9325879239860663
M0,evaluation,Beijiang,112,12,8,-2.3432259445524144,-0.40269059901180393,0.8745073107316567
M0,evaluation,Dongjiang,52,5,4,-6.8486639795796025,-0.029835627453651377,1.0719813957966493
M0,hindcast,ALL,675,12,12,-1.8674814620328541,0.01404887258992179,0.792602630072157
M0,hindcast,Beijiang,418,7,7,-0.9518148886932856,0.02414021047203623,0.663898917396374
M0,hindcast,Dongjiang,257,5,5,-3.5306796630368202,-0.07978156453151553,0.9727878278182533
