station_key,n,dynamic_eligible,nse,r,rmse,logrmse,bias,observed_sd,predicted_sd
三溪桥,12,True,-0.2740750528770324,0.20499273417827812,0.5086778363295138,0.18309547824899475,0.21564986113012344,0.4506561574218444,0.22539100992452898
北江石尾,12,True,-6.220382989282369,-0.5096607465596066,0.8852979819626758,0.3207917548027346,-0.7561029753514196,0.32946505462980774,0.19500217279131202
十里亭,12,True,-3.818624312130334,-0.26012974688119106,0.87335257893977,0.3345247225332963,0.701268613863767,0.3978579799654925,0.2477705007033238
古市,4,False,,,0.5768748604514359,0.2673442333035014,0.41348046749162226,0.277398630133604,0.16874594727041195
官渡,4,False,,,2.1628807337279183,0.7569994105491735,-2.117818508059798,0.475683718451662,0.10338676949294447
新坪山桥,4,False,,,0.5391348439439034,0.23798155112751937,0.4533088077087707,0.3350746185553301,0.22494369342739778
滃江大站,12,True,-15.94473918849826,0.5952349639807444,2.2225588908298897,0.7593605262563257,-2.1704607276614998,0.5399279787362591,0.11980595370109377
石角,12,True,-5.88919755404167,-0.6392194769687177,0.49296212791030075,0.18276335954834974,-0.3482560723365132,0.18781455096864977,0.1975428213218289
连江西牛,12,True,-0.8678275769744948,-0.5000668158881004,0.6370944272997762,0.24553010544669887,0.11871345219730628,0.46616043971529325,0.24525228080373265
长坝,12,True,-0.4743276137841219,-0.4762527454076797,0.5161700074425136,0.20900292966654663,-0.09297487187695704,0.42510456230072263,0.14114456734827854
高桥,12,True,-0.774073334080192,-0.32912845261592816,0.49037813211142117,0.18507681480114027,-0.13294052294179165,0.3681673834307192,0.19809595279461295
龙归,4,False,,,0.588705307830761,0.29714624738256074,-0.42660360505904743,0.365991803186902,0.04260828807648338
