station_key,n,dynamic_eligible,nse,r,rmse,logrmse,bias,observed_sd,predicted_sd
三溪桥,12,True,-0.3672198900148149,-0.12783908371124328,0.5489574235989566,0.18696502171070029,0.13340169491275963,0.4694825757031765,0.19833529294498914
东江江口,12,True,-1.32202764154597,-0.0884297962491857,0.6690459091289941,0.24647366563108153,-0.49701593360181867,0.4390583357849184,0.05778065042885301
兴宁电站,12,True,-10.047552209032554,-0.3195736213426894,1.8255288272565624,0.5981062232961821,-1.7218245811510846,0.5492317867308442,0.13597209968971677
北江石尾,12,True,-4.343627998700124,-0.5876362637118864,0.8069828155955898,0.2805111975865149,-0.6802732798592306,0.3490970495435331,0.12450022751238511
十里亭,12,True,-2.8237070615507083,-0.4047495472122782,0.8816559192673986,0.32025149405621633,0.6805146573493346,0.45087569117095777,0.19728623541047494
古市,4,False,,,0.6917848975036349,0.28271768394468794,0.5418148268169596,0.24933661985356267,0.18456021961615196
官渡,4,False,,,1.9434879364030124,0.6491748167515521,-1.8122908040299315,0.6446122865723241,0.07840188983092548
庙咀里,12,True,-17.88260730754477,-0.42310959291930766,1.1053727583658381,0.5000182229037683,-1.0642060790640562,0.2543769621818943,0.0826094397759149
新坪山桥,4,False,,,0.492331141841498,0.20073752242930332,0.3626641648438305,0.3531554190437972,0.13879984585321753
滃江大站,12,True,-17.738495044235307,-0.3318353859147863,2.0453922057886955,0.691695216465783,-1.9816316931469133,0.47250808341116124,0.08421518199306852
石角,12,True,-1.6991319013243507,-0.6931962737630913,0.46119108514347923,0.16390875319889103,-0.19029490132625573,0.28071708771169124,0.17357782096987365
连江西牛,12,True,-1.5829284109542883,-0.4613680786914633,0.5324991229239632,0.21344215478850656,0.3334277300867359,0.33133148892846803,0.14033834340316667
长坝,12,True,-0.5721868898838325,-0.49982085493346873,0.4196663783929219,0.17944665018990996,0.07126728698893563,0.33469720976163253,0.12767594838001092
马头福水,4,False,,,0.6129852679632711,0.2734138767203954,0.5273245730624398,0.20789119750484872,0.13938534992443094
高桥,12,True,-0.7484751155755607,-0.43637883959489326,0.3472906345519073,0.13344410395168527,-0.08254084264414134,0.2626414962559335,0.12612302675417691
龙川城铁路桥,12,True,-6.731843299055861,0.12191678667914639,0.9386477784207921,0.35862511882190345,-0.874745286841042,0.33756789440545637,0.1013382608473785
龙归,4,False,,,0.3968272679017635,0.20267329164921588,-0.3031365108682606,0.25627134057479,0.029955395416195085
