station_key,n,dynamic_eligible,nse,r,rmse,logrmse,bias,observed_sd,predicted_sd
三溪桥,24,True,0.03475088463626552,0.251773644898368,0.7995852711590629,0.25843713872264557,0.11982708507811528,0.8138513335097237,0.27280831279124823
东江江口,24,True,-0.6511884595199058,-0.10067009191528795,0.5796686164125573,0.21648413184612322,-0.32963236896311526,0.45110897303817354,0.11558761855758104
兴宁电站,24,True,-12.627022511805356,-0.026616454406950305,2.0298238026740885,0.6314909641213393,-1.9489649422249757,0.5498672503937251,0.12529492744592857
北江石尾,24,True,-3.0285935631910146,0.10953315625024476,0.7302057548980556,0.25373226009058436,-0.6057237356266305,0.3638048832211513,0.2283510212188391
十里亭,24,True,-5.133032419783583,0.015308938898360998,1.0135475673412957,0.37216730779558593,0.8870527819734413,0.40926679019382395,0.27636909343061605
古市,19,True,-0.7503886024301851,-0.07354295584970387,0.6634844244221891,0.27229160179244444,0.38236612933282316,0.5014914045214178,0.17258080711438797
官渡,24,True,-22.508711993966056,0.28407679933604785,1.7053789758232378,0.5936089366942525,-1.6709505659213464,0.3517276309715927,0.15004619190889248
庙咀里,24,True,-8.932398545531559,0.09657239942420633,1.242238606921028,0.5298536639995596,-1.1780212386223472,0.3941649048586419,0.07686911269127661
新坪山桥,19,True,-3.5911955380156817,-0.1400510444920927,0.7081422059826862,0.28337978961894145,0.5743743414798229,0.33048943810364184,0.2076409141863642
滃江大站,24,True,-9.71771956205255,0.4005780454726858,1.9619478100265422,0.6474719349760066,-1.8813813270971567,0.5992889305019927,0.14991739684516622
石角,24,True,-1.3596155094428308,-0.3304211821963864,0.5094423304836441,0.17247452677242947,-0.2481433717828053,0.33164572798226855,0.20660680647328358
连江西牛,24,True,-0.6300639212133055,-0.28238072391486363,0.615599229168511,0.24365999988066356,0.2402614234172983,0.48216507517884605,0.19139991050810157
长坝,24,True,-0.25171395072210534,-0.2419683075866685,0.5399193263143948,0.2490292974056372,0.08168776717690003,0.4825877870628537,0.1393237007366531
马头福水,19,True,-1.075894652119472,0.0783657719246982,0.4173524738092603,0.16704742316188884,0.24996058811805674,0.2896678774465279,0.19095760142849488
高桥,24,True,0.12838216891802257,0.426055665108002,0.3397829305874165,0.1308103530477979,-0.03563463889238608,0.3639473023514378,0.2310166547842661
龙川城铁路桥,24,True,-1.8926819175241594,0.1718528004595442,0.7096558335034384,0.27266030613067643,-0.5729327774676164,0.41725104853073763,0.15172271698643314
龙归,24,True,-0.5678879155659218,-0.09630449474904512,1.2058111735662822,0.4241172363452421,-0.7095369140904558,0.9629900448025872,0.08555410787032638
