station_key,n,dynamic_eligible,nse,r,rmse,logrmse,bias,observed_sd,predicted_sd
三溪桥,58,True,-3.890880045938335,0.004113027327506896,1.0084661004229072,0.3727245186825239,0.8662685863400322,0.4560031033464502,0.24404759839366547
东江江口,59,True,-0.3190502475564234,-0.07574285376422184,0.5414431870148974,0.20197086621142288,-0.24889136151268096,0.47143543578218283,0.06547264896071206
兴宁电站,59,True,-14.495511812846685,-0.09847969102569029,1.7673131381611313,0.569712259527207,-1.7023320733905598,0.4489629916627787,0.11656041188338884
北江石尾,60,True,-0.9398759428643364,-0.024665382213060288,0.8530151734452514,0.26427274489507774,-0.5665183557374319,0.6124487856370567,0.1632936143454305
十里亭,60,True,-6.603957155254642,0.0724570088807851,1.094050984127773,0.3929061283778976,0.9949875655485794,0.39675072638734876,0.2531634414522659
庙咀里,59,True,-3.5354664927950923,-0.23917203832407605,1.1128633162099915,0.4742704393607398,-0.972268613738736,0.5225536016429897,0.06400732821642968
石角,60,True,-1.196232522574265,0.03894825372582293,0.5942960867735457,0.1967854049634498,-0.4140706127401343,0.4010178565776193,0.1610905801773135
连江西牛,60,True,-0.4761347883664728,0.055929886604065476,0.33528811107568207,0.14343523110221676,0.14202964369509927,0.2759657252834529,0.14321128337592248
长坝,60,True,-0.08982140154970764,0.10406444877712227,0.4106804414058746,0.17328731022226976,0.09089330852452464,0.3933927519782234,0.1264654488776662
马头福水,21,True,-9.662031940323176,0.3799844119371839,0.808203635070483,0.403826912732086,0.7728614806197013,0.24751459335340711,0.15287764624969608
高桥,60,True,-0.3384691107617446,0.012983079252393705,0.35387341583550036,0.13109811713265504,-0.07233610675753874,0.30587484459511105,0.16660647011123206
龙川城铁路桥,59,True,-2.5159575278493973,0.15963213788638608,0.6322470619795119,0.2424891977268282,-0.5331341748268487,0.33718248711211346,0.1224503562453974
