c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38
14885488.079227062,4891797.4807300502,7767231.1343280664,9793309.2838822864,3988933.6574368859,5518307.4624804128,7901670.3853700049,17219672.503072005,17315322.023628537,14793051.134176118,17212805.01143932,5309256.5661158096,28863964.990455817,6415129.0209878413,55615127.323670678,1887943.0648000136,2756258.1167876604,9937313.0987166353,4765521.1926632738,24298138.916072462,9051431.8037522752,5008477.0051477151,6283957.8250043392,13854007.197772318,14738602.926514722,25840106.150451254,46366755.332655288,55412777.976298295,71347378.684622705,8319183.5233941888,7551936.999182608,38329969.613866009,11313620.938681999,39143919.926435456,78128978.896550551,117205327.2631631,176916348.99685076,186676384.35497853,207855176.49083751
11475388.220027743,3631485.1410366357,5729460.5405797129,7242173.7094569374,3014792.0446513104,4348233.3470105333,5790575.7134974366,16277507.74390007,16364399.747640865,10906069.724315999,12587648.02797669,4026735.6929618097,21362993.252450772,4746510.9744896162,41139206.011001006,1400506.687360097,2402846.0184349688,7713505.797469236,3489368.835509127,17867466.390749309,6654966.2275779666,4195196.4580108887,5167489.8790645385,12962121.939114532,13649843.15361049,22944696.276276551,41944680.105600759,48597140.894402049,60843077.606692955,6146396.0985730542,5591120.5101350788,28350034.779390428,8370239.3343322957,28818808.522526056,57651286.775055051,86670150.57292594,130834087.40205868,138034015.10592258,153626535.67179045
8944171.5960476361,3292571.1905039879,4219295.4782672711,5319773.4304625234,2735496.3242240222,3956755.0946300076,5223479.2309506843,15981227.004381597,16060885.584845696,8016837.1773246042,10340477.056675242,3669120.1850413242,15784191.201022079,3506137.7084051752,30355824.046801701,1037751.1333435545,2139525.6384298722,6068153.5426454078,2923533.973654584,13497011.054999229,6044613.5192317208,3837554.3335263259,4731401.2580626179,12691720.389435412,13325955.120768871,21824382.442445677,40296811.787171952,45796224.65724615,55303520.763017647,4528905.2439796105,4132093.2461153129,20936897.923845612,6183705.633362947,21578136.19816009,42872444.442232884,65706247.684210412,98299239.763736844,103632666.6161727,115062280.25231433
10629886.735447051,5760604.7689595688,3478672.3620763151,4293205.7338764127,4112247.8395044329,6004310.2000020556,8728602.6247908883,17687196.531644739,17821096.080933239,8835167.5265850592,14422425.072733101,5192506.1330689602,12866843.662386069,2822926.1206173426,25597350.479715377,835709.18050608598,1973927.1467201738,5681164.6455674684,3649098.3085847967,15258592.092484532,7616126.9883816689,4194449.083526128,5366852.6108627198,13252192.010929732,14132048.435982112,26672740.55260111,48579247.246755764,57423938.637014575,68729269.4677241,3495065.0831768098,3123493.8486194136,16709139.237558449,5202284.6486215759,23341237.048044231,40765341.533154033,70512276.967797771,98037937.786387771,102419510.41586427,111896611.89758284
9887786.4622072075,7627091.9320132108,2712208.5493059591,4103672.5189364636,4015921.186245806,6151900.8276763828,7748104.914926609,17552808.178242177,17727499.475389354,7437483.1778766289,12608398.834110959,4888028.4291484039,11908014.70485126,2714617.7550576627,23854125.582520016,688256.15140950598,1857805.4312559552,4966921.9650361817,3514020.997765562,13568491.804027336,6242608.2825189894,4000561.2331921756,4979345.7549248869,12800470.888283519,13552357.558111064,27166304.873985816,50070471.772434585,60380552.938074306,70787190.845997095,3210584.0274790917,2749845.7922117105,15798775.108649107,4885847.2299186736,21098192.236055393,37523439.827437811,64209636.861524969,89706420.550295129,93141534.719164476,102233378.96040854
8030139.8836166812,5797675.5238165827,2344634.3175104111,3867808.1063775104,3098544.0667903209,4719157.5670973957,5850299.3426589686,16480761.10915271,16612436.155632196,5751310.0915434593,10727691.847077807,4008533.4177646483,11070231.31795707,2627463.7043038704,22655460.201138485,845020.35989551188,2029179.1713174391,5935192.3907683995,3013206.7465033927,10865716.576196697,5740680.6554482253,3699110.4596873219,4609909.2460704083,12571941.529570423,13242160.055221375,23756278.859339043,44271745.576367214,52078949.716522768,60502452.118739821,2952427.3216954875,2653960.8922825297,15120464.322269555,4241922.3268417977,17264731.513236672,32909423.482475847,57602483.308317609,81692706.736648679,84669334.330275878,93146262.64922905
7306439.7852136996,5124058.3454038519,2159935.7071495866,3579351.5393341412,5468781.9325924991,7644958.2361584716,5837757.7633773796,17147576.316113189,17256732.731832892,6305588.7703426005,10023803.824285915,7655757.2225296376,10187197.355414886,2415980.1971644638,20481003.028494261,629050.84037477942,1871447.1852146222,4862685.1923149647,2810611.3570927712,11074984.54824784,21680304.437309716,7502945.3202296644,9954057.3963521179,18005275.140566278,20161178.153813411,45183871.283788189,66155915.742547974,73046092.796013087,80713854.12767987,2708173.7015581266,2440162.0974365361,13920847.376189295,4070872.1079479302,16900077.254990444,31212789.397162307,52152353.898264788,73956576.963482514,76699657.428164974,84527303.405154556
7908596.1744097089,4637954.7137269555,2097234.9789730012,3563040.9163206774,4705627.4473759755,6594765.2091259565,5505221.2439293144,16838972.520978611,16940324.422523383,10697868.031291425,9459515.8412870336,6746212.6869558757,9457215.823159365,2314439.5643595755,19134744.024010822,593240.71981430834,1837002.1243967975,4351821.1324387062,2857341.7941452777,15599084.678873068,18671889.418011993,6979348.2774750106,9085378.7810758036,17060142.250526588,18809169.414560806,39104658.376168743,59503406.630166478,66656073.107399523,75142236.225746349,2604137.6357902535,2499581.1519461749,14814492.187186971,4465253.1426133839,21807286.144416861,36965810.319927514,55904612.191008754,76358238.831182778,79116690.646095872,87220679.982621402
7393887.3408249328,3806725.5131513397,2322381.841045083,3465510.7053535939,4194158.591441338,5960588.6514284899,6375690.0049569393,16885061.856607754,16985122.141320497,8246055.4569404367,9413941.2849604115,5277182.1176921697,8719512.4600129146,2141098.4577115355,17946560.405483916,520778.76363305288,1746522.3400999112,3741814.8057830622,2723745.1668009823,12913175.835877767,13914176.251080206,5276574.5844441699,6869341.5925878007,15317920.659404254,16641590.580605317,32547228.069495153,52496637.703877032,58192394.671544217,66015053.698327281,2393988.1104513262,2318020.069686553,14165602.563272268,4184706.2520681424,18741493.286604036,33206898.497604415,51235906.595373213,70531018.730002731,73490752.550976589,81271499.436545655
7070224.976844307,3444022.6459556837,2153077.4401033465,3240887.042775684,3186096.2252695188,4605938.6036276976,5511878.1071239803,16256776.058730336,16347830.101745745,6057550.6445017606,8806184.048139507,4086167.4378270777,8025335.3213627972,1968883.7036642737,16620384.794243321,479088.54456562939,1714658.5399815363,3553000.6977088382,2544760.2477931413,10404672.624434108,10298436.00367997,4317198.8996022968,5495300.2540277727,14062380.790955503,15040932.834444664,27010342.962012764,45986985.730210327,51174100.795749627,58618443.902752221,2195803.9382736762,2128916.21837364,13022149.37834998,3848870.08487943,15781216.65996154,29079646.002360187,45950128.471134812,63817055.535508148,66559391.761071257,73789838.573260561
