c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38
1381561.8187565976,854533.16350478958,670115.15152234631,1281864.1871684822,793197.53169831366,401339.30141585908,1517956.6380156465,775898.73561207647,29890.860350368952,1674347.3037428674,2997033.2583848117,1025880.7876153413,3918525.6665948234,876576.34543019184,2555825.2662414303,167926.74677820259,290254.62410600425,643650.09641306568,888544.92065805395,627218.58747676539,1695608.9564122162,1176289.4903178483,257865.8062472009,21927.73910256258,187992.28744909423,1656368.5319328858,782219.78386206436,398425.25804089935,75201.743303782307,1098828.5206917385,887188.16702056536,3030111.1907384433,1310711.6848738785,539213.92171251262,97033.617965666577,1624607.1049990975,437509.31291625561,198433.8948664185,1469743.9200869962
1391705.8069042771,859502.13033267029,672932.594975468,1286189.8972731908,800359.61624053365,403428.98784339573,1533985.5744058695,779240.94434128399,29994.667335019447,1697666.2481608286,3009926.7837846833,1036388.6543575039,4099086.5013791444,902093.57820320071,2570159.501157769,173142.05780758077,299063.59455598082,645794.56368573545,892588.68839694303,629470.63083698519,1704653.7475397377,1181571.9389997497,259146.45191071549,22133.035110845965,188775.03241590006,1663149.40112372,786044.01264578674,401725.16633983172,75828.562539864986,1101153.9661809423,890608.46823500725,3167936.1413191878,1332237.5373916668,540875.28632308869,97288.991073583282,1629357.39481781,439048.49817245553,199151.31896125313,1475162.5901107173
1404104.8465624903,867835.60473705735,675795.03430569987,1291761.5297471902,816347.31162119424,406781.20506561658,1549697.3410344811,783977.18441462936,30128.171487136489,1759989.5578052083,3023489.5515498915,1071850.7465065669,4099132.6969845858,902838.80072207388,2582955.4651345094,172907.16150269029,299492.52749240643,648153.33616882109,902939.06748141604,632874.30787206104,1774174.9603086014,1214510.0187418612,266273.06547444948,22633.616330591045,190377.30838558608,1670873.8024341699,791346.095505793,405109.56530613085,76457.245815086411,1102297.626345271,891457.97815112304,3169996.5286716935,1355871.7253424535,543382.0362309441,97590.913407074549,1634197.5702826171,440606.83806599677,199871.27049538659,1480606.5789580198
1412316.2875498845,871205.39498387382,678621.47099598555,1294982.0960455714,805565.7703659666,406999.36337463401,1542714.0733905665,786400.62226008077,30212.568730244766,1693664.4901017444,3030942.0652230512,1042143.3314938229,4088221.0781317349,902470.59003989899,2580226.7029777355,170209.65041787107,293592.50569179922,647885.30172637373,896255.51968338585,631443.63079053548,1713146.2125973515,1187980.0097434993,260781.53885379975,22271.263814112444,190181.33503165568,1676715.735289769,794313.39455049695,408308.31838707335,77090.776771481513,1102809.2971767744,891817.70186238142,3137352.966269624,1322617.1809801036,543302.32145509345,97760.487974229618,1637958.752461066,442149.89065795921,200589.63761827009,1486049.7227894666
1421641.8011265753,873592.24094944994,681503.73528474534,1297392.7154352437,806116.71751828142,407950.06964403222,1546233.145891652,789594.96070618799,30313.608404279625,1692874.5583970728,3041800.0334259807,1042602.1512193988,4106350.6623313916,903559.07796735736,2583589.0816125311,171300.6269886361,295064.63320035837,649239.77451667946,898150.36093723972,632504.64300039271,1717631.4217701801,1192032.0173167833,261525.27384532909,22253.162646213917,190819.80297633042,1683001.1337794473,797668.99804243632,411542.02929926058,77743.004886775714,1103881.6166312143,892595.55282546987,3163850.3432356562,1333843.4994003752,544537.91954467562,97987.857777624711,1642209.0522570331,443710.13958345167,201305.19624636162,1491555.3284305027
1431847.0865863569,880591.22193655511,684294.98075282725,1299089.3744767066,808714.99692994275,409295.71295007807,1548126.8788884887,792212.68855986209,30421.783237769767,1701520.4248062745,3051142.1047392762,1047359.4927378391,4116991.0062538139,904325.79047695617,2585624.938995597,171248.7369221827,294520.10305871331,650283.30504120584,899784.5780523899,633493.98479270074,1729274.6638325234,1196727.2359320098,262613.49322083022,22350.66446886128,191544.72931226087,1689621.4754451171,801720.47958039097,414792.28666579968,78401.469830203205,1104989.7755498495,893501.06228876451,3178376.7480694633,1332102.4105599283,545657.99267481011,98203.877483987671,1646265.2235778305,445217.37897583604,201996.47066579296,1497044.6048092789
1446175.5806547909,894976.50777546852,687222.68311034108,1330576.9446170551,825257.11251883407,412999.53234107653,1591487.265063005,797086.74743919016,30562.478951472476,1765818.2654147905,3071313.4579856172,1069217.9363567592,4130096.3755976884,906934.62062300206,2659410.7447491102,176587.53480677743,306096.63564035378,658173.78478310176,912207.73449985113,641763.15206578642,1779929.0333364941,1213799.9846392339,265628.64055070182,22649.761413160468,192412.36451617818,1697066.3708689215,807644.28528072312,418155.63705340482,79055.841888540293,1106132.4232057,894519.26910056826,3198571.4389843037,1380462.1641169512,549075.48466593167,98486.428227947632,1652123.0513219808,446791.57548136095,202719.92561050243,1503086.7464165734
1453316.8684647297,897845.76638060668,689803.89386087772,1335273.8712390573,826700.17136955913,413975.43252935127,1590349.4281012628,799279.90460897249,30652.357257830641,1776059.8736652557,3078857.7831127443,1074621.9327069982,4132101.5772687113,907810.34143106581,2667944.3551441692,176473.99580669682,306657.61824814085,659344.70378823543,917709.29557695228,645796.50782627601,1761537.4964434244,1211398.3161710033,265426.28849775984,22687.317420401621,193017.09723619165,1703412.9710155861,810989.5221395538,420976.93057106598,79669.533598969632,1106999.7159408943,895277.82987961546,3201462.9687954765,1383305.6968243129,551031.4739814566,98706.798220054945,1655974.6971653386,448237.48973830842,203420.64670520287,1508320.0113958837
1459334.2979954018,896288.30758134625,692291.38565319404,1308454.7029569712,817711.99843742116,413893.90883719857,1567615.4210383163,801442.55678703974,30710.641052994764,1706936.3690786841,3081931.7973205685,1058268.3635922526,3962706.8523438885,895743.66857053002,2597612.4382951413,170525.90941282912,295162.99374689138,653550.58270326443,906581.70444031898,637312.24594143883,1735282.2572692884,1204859.2467954478,264884.86041482014,22574.37200760327,193508.73653429491,1708652.6360014079,812590.84380232659,423607.94125806534,80255.611982873321,1097816.827065618,889914.24281215249,3075680.7019454553,1337948.8376644216,549278.28090975096,98847.572389162786,1658413.2412344511,449579.14910027699,204058.25990794715,1512929.9996526197
1467231.9565239255,896670.98806466069,694656.77249325393,1314359.0441116057,823014.30972766469,415387.32059952646,1583966.1679684622,804178.97438124765,30790.939327914533,1715996.4241667043,3093657.0944689666,1065600.4566165584,4130481.7764665275,908954.03676521382,2613160.3959474396,173547.74833288908,298304.56217520259,654362.8517683734,907637.12628813181,637429.55846465833,1743897.7166185337,1209573.9895001957,265890.26489455928,22673.046862201478,194133.14161413579,1714308.2631006972,815339.91554166551,426269.2323404483,80837.463905117547,1108482.5549431397,896435.41799373506,3166897.3517073262,1332250.9497089244,550065.81927348324,99005.928765518795,1661884.9444249473,450838.76545793796,204647.11918444085,1517306.3696746957
