c0,c1,c2,c3
0.0036019210138370649,0.0017422741847847808,0.0037156278842554284,0.0097445830013094866
0.0033516135862825015,0.0016229037298246341,0.0033115817317613877,0.0095497341240804671
0.0032157499828498167,0.0015428767086549868,0.0029978496174825993,0.0094384918872070372
0.0031985887912249758,0.0015148576153552582,0.0028654944096698325,0.0093264786533638674
0.0036428867964958906,0.001750805359191982,0.0027261647934975859,0.0095401487676769949
0.0037444078962655092,0.0018350022852536294,0.0027735412071961995,0.0096196932042682901
0.0039019148924520951,0.001798113961022784,0.0026360284662415691,0.0096394690937729299
0.0038434854151210528,0.0017103881373484076,0.0025194456610153895,0.0095588474084099401
0.0040067332287845219,0.0018018064919589349,0.0026812346019239376,0.0095496223759149526
0.0042511487673004738,0.0017993531510871231,0.0028619440545632163,0.0094938117690059713
0.0042575820153245222,0.0016910067673398469,0.0027125459401312708,0.0094302435757011444
0.0038732228692080531,0.0015881095989254766,0.0025921802459612873,0.0093628404691920557
0.0035573351911058304,0.0015206817948847649,0.0026807358275199966,0.0092755245003727973
0.0039626205719605657,0.0016714516347985898,0.0032463010475343446,0.0096636980003647309
0.0049089384872259565,0.0017642148973644064,0.0031545997541454879,0.010104687748019075
0.0053755392757704364,0.0017830914788936288,0.003211987313161671,0.010263518672477339
0.0047308304261960681,0.0016541428740897719,0.0029330594441204019,0.010077706300677102
0.0041813072276181903,0.0015514274841376722,0.0027177649245482701,0.0099551662015610783
0.0037805452101632936,0.0015170585332026346,0.0025746921291139027,0.010577756629221963
0.003806805045288211,0.002262378722098982,0.0036788949038826127,0.020307519032156104
0.0039399305643051368,0.0022829523502705764,0.0036033946570071872,0.017986299332051998
0.0039814829511380786,0.0021570894247157461,0.0036331415507821698,0.015612408674625119
0.003682843051108821,0.0019341184836584747,0.0032430251369969651,0.013582393939055425
0.0034122407298200108,0.001753506388562224,0.0029465941266383867,0.012048448920690305
0.0035655475611929338,0.0016563687079325505,0.0027607497188650828,0.012541964911899618
0.0033300093813627639,0.0016023156786268032,0.0027904768063017225,0.01168698848910066
0.0031629623234440672,0.0015653717153981284,0.0026943579787380555,0.014266955002251822
0.0035506661593256079,0.0023220122670715567,0.0035738581408139578,0.017229543663936264
0.0033522142886340924,0.0020735403271879868,0.003255156234382594,0.014857076720653572
0.0031786467988033653,0.0018997638575930934,0.0029596241888938096,0.013980912054359912
0.003155138495180385,0.0018993436801933228,0.0030716795332534574,0.015972269537731822
0.0036216423496990158,0.0018148430610578279,0.0028593593876217187,0.015491931534921548
0.0044521275226594515,0.0020600005272051356,0.0031110790542368972,0.014252117548234418
0.0049902909994439986,0.0020229324893521398,0.0029735791707125206,0.013393343820274097
0.0069295956716055882,0.0027279555145229171,0.0030596469911567821,0.014003249502968888
0.006605294970076162,0.0028437767932375786,0.004385930360967339,0.013504865612358896
0.0055966703832106453,0.0024652095916766858,0.0040543095253592768,0.011971059804783107
0.0049274930484347586,0.0021490891153461747,0.0035652364243477135,0.010711861317434247
0.0043592102885732752,0.0019280531137061622,0.0031919763438485135,0.0098083614901729541
0.0038834594338397698,0.001745368962312554,0.0029193084358110776,0.0091228150004560218
0.0035248267200662931,0.0016199312609205415,0.0027057145927643742,0.0087319943551001471
0.0035380065517400276,0.0019089150137214916,0.0025904577795631488,0.011224608811305126
0.0034599489857061027,0.0021510166667373437,0.0027809975225766043,0.012001905212306308
0.0032562588503310037,0.0020419342838621044,0.0026432862498863693,0.011210542862334512
0.0030867851967482937,0.0018505988069146388,0.0025379400188656532,0.010384197941302619
0.0030430986979593151,0.0016920355582410759,0.0024833226213088495,0.009552501900790317
0.0030095210427536451,0.0017688913878357549,0.0024516765045887569,0.0095924725201073265
0.0029868661337625383,0.0022242266176550679,0.002881403374782876,0.011291019359195638
0.0030690455739622998,0.0020493519776551938,0.0027858097067288826,0.010772326201274133
0.0033378845420003436,0.0020262358870739138,0.0027389366030132088,0.01077845618075202
0.0031970613915730237,0.0018329951332071786,0.0025899213544966584,0.0099130740984093232
0.0033485468345575311,0.0016968255019511151,0.0025596698340724722,0.0091722090098879036
0.0031981068872402644,0.0015830819964923356,0.0024908495488688625,0.0086526329514552518
0.0030852688288930804,0.0015119383337999434,0.0024591840700502695,0.0085018901271945221
0.0030441586196557251,0.0014912562020657023,0.0024345493598704874,0.0084029289693486418
0.0030304697051014838,0.0015471693820929377,0.0024547798433026779,0.0083809429961447437
0.0030001991229217156,0.0015055916274635929,0.0024403379011286703,0.0083160079585407887
0.0030460228890424076,0.0014961805774337969,0.00242945737372073,0.0082464517684835738
0.0030159643328099136,0.0014832150766979641,0.0024214922123036494,0.0082704100218555163
0.0029822855898183724,0.0014667428225935033,0.002402278957780449,0.0082146578833914435
0.0029515722742723995,0.0014490241989277548,0.0023803829961995628,0.0081428235460214091
0.0029833554294961162,0.0014315766258540428,0.0023585865602742447,0.0082263965338878562
0.0029855802311408585,0.0014252058055362557,0.0024059905365248751,0.0082698173576985796
0.0029647552748817648,0.0014169129681956398,0.0024345086765167447,0.0085154515301551041
0.0029389421553763788,0.0014047762564498259,0.0024177867550645902,0.0084538715387785478
0.0029118132934806262,0.0013925561968398017,0.0023929336808449515,0.0083669935421983588
0.002888685472879017,0.0013814619384917683,0.0023684617905336946,0.0082891830614581895
0.002898490876964724,0.0013790287178064788,0.002349480612833757,0.0082135183848379232
0.0032450350465207042,0.0014478100257621163,0.0023605377810499545,0.0083336109548461067
0.0036685828956426075,0.0017253742861397287,0.0024141208864295808,0.011227545596346774
0.0038688745073514347,0.0019164830910366228,0.0024241826864413556,0.013613305264990896
0.0036751027383011814,0.0017588946169957616,0.0024057356608942651,0.012095926606792685
0.0034813054737937977,0.0017014153359394572,0.002384741349890774,0.011464766165034123
0.0033060334301381828,0.0019088308569764577,0.0023686482413250542,0.011387131137870168
0.0034637125638572056,0.0018375855305594753,0.0023484394836954985,0.010592458137627858
0.0034026306347380176,0.0017292268234692619,0.0023369293081728203,0.0098874861308828714
0.0032016705346742374,0.0016084450372736063,0.0023232344048452211,0.0091952856204888609
0.0031164542205269923,0.0015261774377319382,0.0023062103734793893,0.0087337046214811982
0.0030721407347753193,0.001495052632297637,0.0022908973241728796,0.0085614490210807782
0.0030334581823599038,0.0014747332237323801,0.0022773385400695909,0.0084506784678426081
0.0030007670577051095,0.0014569502250238475,0.0022654281598780668,0.0083608398016537383
0.0029719038546874546,0.0014404958018442765,0.0022551166649780203,0.0082781263604608645
0.0030579893526906992,0.0014281778209435966,0.0022627221734366145,0.00820588539063879
0.0030294123731306726,0.0014202908570999525,0.0022559503216188479,0.0081449408521227021
0.0030002497115678194,0.0014092118289114888,0.0022634187297419167,0.0080925138397270786
