c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38
1952800.216347489,1080508.1409280184,798149.19596007757,1385839.6014414928,950278.98636923614,467528.89105085045,1749813.2698507421,884483.01923145924,32214.937744394094,1806820.9219434811,3481224.3340684003,1257929.7993870953,3928252.2925659134,865418.59619221045,2707850.1298052617,174679.55352611825,302600.37011405738,675344.78532829508,1000359.2303801673,667849.46600542148,1962557.0247878269,1410912.6690946694,312397.49934024189,26262.799809706565,227125.36524564418,1931122.5966829392,922166.20979825628,559426.31288851961,110024.26454991565,1075702.5674363591,860817.88095880253,3099820.58403737,1380508.8726909687,578529.06245767372,101567.22591572024,1772420.2156862025,490684.50646716449,216592.38162069337,1627191.9629459719
1953224.8050647879,1081469.239585228,798384.08810251381,1386077.0094181004,950764.09228616324,467731.20251091674,1750626.4339858319,884844.75273123209,32238.038712834572,1807379.6289863931,3482011.0271265046,1258613.9781538984,3928228.4130582036,865288.18115930748,2707794.8963720058,174659.38463844723,302536.91718514723,675227.54846153723,1000473.538639367,667979.49789116764,1963191.5858928419,1411300.2213906853,312498.23725348298,26273.848487038525,227215.50564625079,1932021.0714002841,922623.27030701272,559912.99449302384,110176.37720954351,1074867.6249198203,860099.9548060426,3100280.5548857003,1380696.7254165169,578581.9818314591,101583.02498107972,1772351.1817258359,490812.87156138767,216697.73571423074,1628175.1731949917
1955282.2401716332,1082653.9116251064,798814.11921696353,1386670.1200030057,951532.57350448298,468095.14600651292,1752029.2814654496,885560.6261597157,32274.923670136581,1808604.9907516895,3483937.0957263703,1259688.3593784545,3929786.7164138556,865785.33291231189,2708646.4418835882,174721.04519278271,302617.57713847433,675438.17414235941,1000923.3232694407,668343.93779502274,1964440.3616367781,1412089.216958567,312688.85313599446,26292.241290853104,227367.17624317299,1933442.6462202724,923458.25229386496,560505.72682890214,110338.3408335351,1074546.3230429827,860319.82452512952,3101645.1740295491,1381344.1556815265,578911.21235910733,101659.28601500813,1773023.2826325851,491078.14979272522,216863.05140438216,1629448.8921016483
1957123.6608842418,1083735.9181717236,799165.87972937513,1387309.6388973237,952284.0611697681,468420.54123832408,1753448.2407220174,886187.82598312583,32309.624204454904,1810399.2142399959,3485745.0649001235,1260838.4036003866,3934012.1108847205,868035.10333098762,2709553.7545564333,174859.36023956881,302746.71906822681,675694.02516261255,1001441.726026354,668732.08897536667,1965936.5994064033,1413024.4451177882,312888.69274874526,26308.875049389251,227508.0349147456,1934661.8088516046,924192.62721572816,561001.00318519515,110078.80768879845,1079057.3811265004,863344.37384082237,3103780.1976841511,1382493.2289752301,579243.7268316485,101729.90114642579,1773581.3470723457,491285.61708173424,217001.18013218822,1630516.1271889906
1952890.6340318392,1084649.7382625565,799381.97640035208,1387627.1228077782,952895.89027436473,468684.2430204305,1754448.6531893397,886675.15581002331,32339.760020998074,1811233.9259960658,3486871.5568030314,1261741.8559443341,3933281.6976836976,866951.56433939666,2709884.1893388922,174850.72467507445,302768.3280635752,675786.92301313893,1001752.4260479572,669020.01676200796,1966994.0249638876,1413671.1692369313,313038.82857121178,26322.66966112698,227620.05158203188,1935611.46045308,924771.02212334133,559197.86109434138,109304.91924183845,1076248.4287289686,861527.97864019882,3104652.9916023109,1382798.4905741015,579468.6604681497,101787.01133769903,1773867.0794640773,491417.86894432298,217105.55913431922,1631323.4633375641
1938730.9449483589,1084895.6313531727,799491.6735379427,1387809.0669610738,953410.23106824863,468888.47449110699,1755278.9714890423,887031.9718679589,32365.44567431062,1812415.0556072656,3487644.3250827193,1262543.6998181804,3934432.9144339985,867242.15604892245,2709995.7971305586,174887.88828456655,302802.62012851058,675843.99987953296,1002038.3238444267,669292.77926727908,1967975.196591778,1414273.5606745651,313164.98853764078,26333.726343125825,227708.31618943039,1936297.3848584767,925196.22030342021,555091.47991467523,108502.21879103578,1076848.9579190195,861938.85750982969,3105883.5437459778,1383418.2720975513,579657.24555534683,101836.56130009476,1773960.1536163429,491480.12330671452,217176.6687484039,1631875.4338023977
1925297.3527663022,1077265.5540497024,799469.66932420898,1387774.8119849081,953783.41820132092,469024.54386405559,1755787.6998501297,887245.05411591625,32385.978595101456,1813181.0172642311,3487859.6791700791,1263104.2101386483,3935013.7048075018,867366.56411256979,2709740.8698204341,174908.65775134374,302808.47470097017,675818.58650821645,1002169.4651066653,669495.84469344723,1968525.3422503078,1414579.0399985448,313237.031235017,26341.343432129579,227764.86588781636,1936694.4194313497,925453.28224929434,551067.66552000528,107705.23161630689,1076664.4435832093,862128.86669493292,3106951.4058890892,1383950.3569625083,579773.0317206739,101873.44208543714,1773801.9600861729,491464.89918906067,217212.02002323951,1632140.5744369712
1913022.3738395399,1071729.8550071057,799410.98773444397,1387635.6729804035,954250.91423376021,469193.28114088363,1756499.1754705023,887494.50101503765,32405.855614818134,1813924.6565389468,3488133.9805407333,1263814.9375766166,3935641.8802466854,867504.34996294603,2709343.1914402195,174920.00047567076,302795.42863067449,675755.51329484791,1002288.8004038674,669664.32612169371,1969208.1878135079,1414963.5768494885,313325.65260314831,26350.245804266287,227836.93292881671,1937201.8520267303,925675.15137264191,547663.79924233782,107004.19020763448,1076798.6560838972,862237.20692326268,3107799.6747151604,1384353.3693591654,579862.63257429004,101904.75837104973,1773542.0556603505,491399.26056497998,217211.97126893929,1622685.38218663
1899853.9400946798,1064820.9457576745,799468.35838927666,1387641.5933977177,954782.52259016235,469376.32963346608,1757512.8966729315,887770.16200328409,32422.525549702095,1814640.6415091266,3488583.6730580903,1264589.1685146752,3936759.2896551336,867843.81210431678,2709129.659230635,174948.74769979823,302803.82634222769,675713.06083340594,1002410.4201071532,669823.28041660006,1969920.1961940094,1415390.2590212978,313417.13482400513,26358.302846988467,227904.87765502403,1937536.0965929432,925797.68306992715,544366.08299799636,106257.85619772297,1077519.7300451919,862732.49678855867,3108807.3324645739,1384753.5768124985,579943.84943348041,101930.77871922446,1773340.1730645048,491398.66435593786,217254.04443740859,1623074.5325106357
1885920.4908953924,1057107.1289148445,799617.05493933684,1387714.6060497665,955312.90415709582,469540.59404684295,1758543.7198169201,887982.55098496575,32435.04917980227,1815369.2485748301,3489100.2216937635,1265393.106852147,3938377.8831281932,868622.96416407032,2708948.7175537241,174994.97110888758,302824.1199098198,675668.33868649369,1002533.4064146089,669970.68856793584,1970813.2982254727,1415956.8195897313,313531.05053742422,26367.174607535373,227976.96015548109,1937686.1148347273,925711.52654738491,540448.72626386606,105478.45511088295,1079685.3878588406,863957.87415575387,3109983.6942650327,1385216.6343355305,579992.2227711312,101945.35639519157,1773113.2765558201,491429.58535048307,217302.47255679444,1623464.1333733364
