c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38
2460522.7512294105,1345049.3029577995,964341.99665059883,1580183.1613753911,1105106.9572557283,555805.07327034231,2080104.9577839971,1088007.8411096944,39963.436147017077,1967305.5622523357,4041057.3902125154,1457617.8270005998,4425478.3226014003,977538.03700813558,3008374.9351667534,191719.33557138275,332970.75472122681,743711.51599446288,1085030.9676312043,725918.64895984391,2180762.5473266738,1558375.6215807972,352613.3043668872,30218.925220356214,259800.01931990005,2319183.7111244099,1159370.5884174586,750901.59956033621,153659.86975496207,1124502.9027382066,949417.81927266798,3412352.184143431,1485983.241793856,647235.62950243941,116224.74868639982,2002792.9305801389,589742.07454303734,265057.79354950198,1995041.7703420075
2462633.4433679325,1344308.9953843779,964154.70263447904,1586423.4571805764,1106264.9598676621,555432.50470014731,2091100.7035036918,1086924.4310355152,39921.922573188465,1933957.1195675682,4044005.268285221,1458436.7924506154,4425986.898800984,977376.48688239872,3027852.4499704917,192188.79913783033,332361.76320416265,743473.80262601399,1085149.1630812567,722458.79060959537,2169011.1370775988,1556132.3672547701,351002.63731659594,30079.804874005691,259636.40936129511,2318000.6898674397,1158193.7377928447,750614.02434642962,153586.95665531629,1115790.3874349229,942048.42399588181,3386107.4909593733,1471390.7153292708,646697.88456622651,115885.19627976989,2001293.4211731066,589484.29923935805,264939.64933274203,1994335.0419656707
2454928.261166798,1342489.5524673525,963874.33901748899,1564092.5271352855,1096770.6998714774,554966.42190093361,2073311.5733945123,1085989.0305665447,39880.782508866403,1937569.9686548451,4039387.7747653266,1430134.8680917118,4422681.1356377993,976935.71949763212,2984971.6942128739,190044.06223652171,328861.44835864042,741761.74034178304,1083380.4371499969,721745.19340231211,2120474.7468201974,1535169.7753093201,347203.70052148617,29824.330501183711,259317.06945286886,2316760.2060078955,1157130.4764133163,750452.2223417426,153581.54143389477,1106867.50928126,935388.30545077391,3353073.4498922885,1457621.6399848668,646095.74835995992,115810.00790588501,2000338.0090264115,589290.21758107306,264826.82354491536,1993401.0629901194
2456295.3129282743,1342534.2737896051,963660.08154947311,1560512.6531063425,1096870.6729088633,554793.13887194765,2072453.7507202616,1085465.7895257547,39865.162583112215,1947395.8558123207,4039456.6035903231,1431546.904289789,4328785.990684242,965218.21096172067,2977608.5113641359,187416.17101387575,324983.00120069121,741383.97599607543,1083179.7644762543,720961.23030176165,2119718.6067579286,1535002.6325299237,347191.42887640634,29821.696110053679,259315.72111408043,2316155.7982625756,1156788.4803985383,750777.43824736064,153724.21943851098,1097586.9904417926,925579.07748836547,3272190.1520062243,1443362.5242184356,645724.56917067955,115738.24567197551,1999600.1098295499,589130.90469309874,264732.87750176416,1992995.4194632785
2461664.8125871089,1345015.4903800334,963514.66516881355,1560622.6720193357,1097490.806321766,554795.74203166796,2073121.3642390703,1085138.4456443479,39856.820744853445,1928288.043342357,4038804.0512298062,1433176.444661557,4357839.8827191144,972497.99867599923,2977558.9273581668,186811.08227510576,324314.51962233789,740638.13029563159,1082352.6229349398,718060.84673291189,2121899.4365346297,1535043.2370807019,347320.29289259313,29830.823190945055,259339.13424776075,2315802.641806921,1156727.5021922325,751300.98080440762,153899.31813147006,1090042.6812056841,925597.08787822316,3267447.2592398962,1438474.2094075654,645205.51174247859,115658.60761932781,1998729.4995545659,589051.33359415457,264728.95699092839,1993204.085210379
2471293.012004843,1345648.5833778223,963400.78633858275,1583392.674520355,1100065.8432721926,554805.72166640428,2078219.8544421555,1084763.2788280656,39850.666323291327,1930068.2230992746,4041085.3891759738,1445203.6489840662,4408859.7529453952,974758.05066852493,3033738.276481383,192312.29209370099,334629.76862116181,742780.64287056157,1082564.9491586408,715111.47740630247,2143208.0006500185,1536814.5026401056,347802.11563279829,29886.552143919118,259429.79592285349,2315394.3022420029,1156509.5275333298,751681.41032360296,154017.39007543237,1081899.5402549966,919755.62260113726,3308036.6922918763,1458374.0195241235,645276.83944329352,115591.99721106734,1998688.7267693146,589008.70013567246,264748.18972879893,1993992.2591069536
2468209.717927095,1344954.2869017951,963121.40704881586,1584397.0237097798,1098176.2151809311,554590.39018778212,2073666.1303123611,1084132.0372784522,39833.382189323689,1961471.5167046569,4038124.6600250434,1439727.7995682948,4407899.2978387922,974418.91895988898,3029585.0061299922,192617.01492539738,335023.39916008274,742376.48283719621,1082355.1947761683,710669.38456011319,2137929.3459701566,1536688.191642534,347642.29406319949,29857.451060277835,259396.08292525128,2314718.5650521046,1156076.4625857072,751847.466306224,154109.69528534147,1073558.4270039538,912738.38914201176,3285108.1444379524,1458247.5416519521,643374.7084902788,115458.404862614,1997064.6681148026,588868.97805724666,264728.8739466265,1994281.2685575606
2463547.8508146536,1343244.3979870994,962757.88150013064,1574618.5817835745,1097862.3189608692,554330.49644259666,2071130.1259940048,1083319.6316346994,39802.880648922757,1942509.5233376822,4036166.5323294485,1436837.0466864719,4402720.1906787995,973353.35373289918,3003973.6288715797,191497.03988310989,331929.18952180626,740768.81996164331,1076195.4734795468,704782.43187933357,2128025.7340367702,1534719.8635466106,347363.15043738409,29841.642763711359,259350.451735223,2313705.714926817,1155181.0474321379,751806.80765735719,154156.27027263783,1065188.0166441821,905568.28002004663,3254926.3925895104,1434568.6759223826,638450.33881678327,114674.79288280303,1995614.8415129643,588675.29161042778,264689.01587340212,1994138.6239113682
2464202.1525798813,1343102.4289977392,962267.5338671233,1561080.5588385961,1097110.0674505206,554033.14346420462,2068283.3264347126,1082436.1212238469,39774.266916382046,1923328.225666645,4033727.0693006525,1433681.0322061949,4389343.318778255,971664.59042470041,2978616.3253414696,189298.54363984134,324402.84678099293,736826.089603042,1067648.6815373523,699228.03727332316,2124096.0235587596,1533034.3752986351,347326.15589919611,29832.347807765469,259303.09910342487,2312469.3105248096,1154397.3993421034,751844.98101976409,154210.49638049334,1057040.8573624683,898112.99662905978,3212419.0536455219,1415317.6596492543,633522.1579753845,113826.33651131137,1993792.5833438963,588391.42335804109,264597.78450031881,1993574.2891274777
2464961.751221742,1342774.6871414855,961719.67280067899,1560318.2089621199,1096910.2910713034,553719.01901481894,2067011.8228941686,1081456.770214227,39742.375772524625,1891595.2610786206,4031470.2654563957,1433499.9523176192,4359099.8128749393,970574.06710777758,2973900.3779278803,187517.57654729288,321327.00654456153,731626.70390683517,1059495.2683555961,693947.87500573636,2123238.5831072694,1531994.4298538109,347188.27468792436,29823.02713213121,259227.89716970647,2311004.0558345937,1153480.6758356341,751809.6346177326,154250.9790304011,1048690.5334728099,891116.79061033891,3190327.2823727042,1402793.5522292166,629099.44777323131,112999.74207088407,1991912.8077200905,588071.95905204001,264493.76202462142,1993104.7514608963
2465139.8791496712,1342264.7346943798,961069.83412027231,1559958.310834605,1096040.7315480916,553314.21244226792,2064584.7145463312,1080321.2802097572,39704.913319676918,1874841.1708365402,4028592.1202717139,1431628.9909477588,4332995.6176484423,969532.57475694967,2975500.1580412434,186793.18106820769,319173.81718864181,726401.65829788591,1052974.844976227,688859.36163721792,2121452.250038214,1530479.6339614415,346926.78322063648,29806.148984630028,259114.47001045427,2309300.7765875761,1152397.0499370841,751679.15303880023,154273.33079709104,1042113.3545634008,884927.87551915704,3163409.5167864193,1390773.841012079,624826.23556989012,112176.75260709671,1989788.3538455269,587688.5574603593,264361.59933085699,1992409.6893990394
2466326.0914283791,1341773.6838160355,960322.76370252564,1558941.5528904353,1095517.0961605052,552913.84164940263,2062131.2593777203,1079090.6710658025,39663.523354400197,1867094.2181379769,4025397.6513664499,1431426.6005239284,4302157.1883329358,961688.03917957528,2971041.4576097308,185362.08669640429,316504.16238993418,720991.92104540637,1052181.0753768859,686916.72467866959,2117375.361854611,1525475.6108023513,346710.98299432697,29793.779796962506,258990.81805822835,2307424.6766700954,1151251.8607475956,751527.48382242385,154294.59341746566,1038579.5207511331,880951.91343222186,3142560.4433058021,1374692.6771643716,621617.56424228451,111393.57249855933,1987368.9430332035,587245.75046170561,264210.30211237719,1991658.3174361547
2466567.169663758,1341352.7027327674,959481.02789827599,1556725.2143522794,1095369.2294974346,552466.86228079337,2061239.1478312693,1077700.7558492941,39616.316858693564,1871195.8122606212,4022072.8162557688,1431271.1481599589,4261593.3138982197,956762.96583261108,2962691.8249480794,182439.99855356896,312157.99554887234,719760.96450898459,1051726.6608442038,686382.72118062596,2121633.3109708959,1516725.1883567758,346575.62766337011,29782.697235235824,258861.54535742998,2305391.1871475778,1149956.3119053193,751248.16873299784,154291.6576181736,1033239.4720297616,879767.85390969331,3111926.3051244589,1371766.8259984765,621246.58651425107,111349.61727937842,1985360.3060880692,586747.96194711956,264035.89554051735,1990619.0280212362
2466545.1893488774,1340645.650462725,958555.5073520802,1556032.4548231384,1094703.5534059114,551963.35857444291,2049140.4566062114,1075599.3649463672,39566.232437310173,1903737.3238701783,4018834.1995626222,1430645.0804454088,4240263.7622945383,953933.44646357966,2964540.2471909062,185892.84375307313,320167.06430365762,721756.51584010443,1048665.8139864302,682202.67620025482,2120942.3497684123,1508139.7442782803,346371.53866690339,29769.279523174133,258708.26048554914,2303081.1849184586,1148536.3796158687,750928.9408402394,154282.48009967664,1033807.993359822,880386.34165698325,3159214.6061758143,1388088.7883106112,621291.29165339365,111328.47944120997,1983395.9658728885,586202.87731051724,263837.45405574969,1989457.761495997
2466187.5260715354,1339829.9971395356,957651.8719063726,1554215.5028534948,1093662.7227399007,551473.99782406026,2046733.5096915425,1074370.4304211191,39515.58278876431,1903495.1810210235,4015026.6594985249,1428963.7003892141,4229674.4761027088,952596.11756151274,2958604.0015299618,185475.23074344665,317805.18656790332,719974.44970479328,1042315.379705522,676913.28692099475,2123478.568568666,1498558.3652702095,346152.50226379017,29747.223590668771,258516.11377500612,2300767.9933825275,1147183.3645352649,750578.78734150296,154263.84138040221,1030688.2184513144,876451.27915878315,3141786.4050103431,1372785.3235455907,618808.41727669712,111255.39668930748,1981010.0598656819,585652.76236638322,263621.52290260128,1988312.0673644333
2466715.4635726307,1339515.0635583776,956688.64070825174,1552674.4349876253,1093285.1926448722,551031.22657782736,2047525.4066826233,1073132.8614130043,39407.578127025365,1876838.4861934909,4011807.6073993128,1428408.3267114221,4221540.5489051724,945349.87933121552,2954503.2712647072,184231.56939103504,315841.63646048185,715518.92738972313,1034860.4338525963,671972.93764835456,2108707.0818497143,1488255.5870017048,345857.4939431579,29737.114463790836,258336.63831707116,2298754.1123222588,1145900.233948556,750409.5377590498,154277.31940587479,1023224.499748544,870809.26530705602,3118170.3212914416,1359252.1223492662,614358.82949310192,111178.62399725951,1972731.2966162881,585064.68264804641,263398.46465946414,1987175.0707900305
